iter,timestamp,algorithm_desc,case,problem,algorithm,max_L1,max_UB,max_L0A_count,max_L0B_count,max_L0C_count,spills,extra,time,schedule_len,valid,violations
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,FlashAttention_Case0,3,autoresearch,256,8258,24,32,4,215,48548,168286,2146,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,Matmul_Case0,2,autoresearch,16384,0,2,3,2,359,46080,245464,4878,True,0
034,2026-06-11T02:33:55.608441+00:00,capfit_p123,Matmul_Case0,3,autoresearch,16384,0,2,3,2,359,46080,245464,4878,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,Conv_Case0,2,autoresearch,6912,0,0,300,0,339,88044,615694,3258,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,Conv_Case0,3,autoresearch,6912,0,0,300,0,339,88044,615694,3258,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,FlashAttention_Case0,2,autoresearch,4096,1510,2,2,2,40,4444,53393,1796,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,FlashAttention_Case0,3,autoresearch,4096,1510,2,2,2,40,4444,53393,1796,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,Matmul_Case0,2,autoresearch,9216,0,2,2,2,271,34688,192380,4702,True,0
034,2026-06-11T02:38:03.540935+00:00,capfit_p123,Matmul_Case0,3,autoresearch,9216,0,2,2,2,271,34688,192380,4702,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Conv_Case0,2,autoresearch,6912,0,0,300,0,339,88044,615694,3258,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Conv_Case0,3,autoresearch,6912,0,0,300,0,339,88044,615694,3258,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Conv_Case1,1,autoresearch,13786,0,0,5264,0,0,0,650044,36086,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Conv_Case1,2,autoresearch,14040,0,0,33,0,2237,78056,1229560,40560,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Conv_Case1,3,autoresearch,14040,0,0,33,0,2237,78056,1229560,40560,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,FlashAttention_Case0,2,autoresearch,4096,1510,2,2,2,40,4444,53393,1796,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,FlashAttention_Case0,3,autoresearch,4096,1510,2,2,2,40,4444,53393,1796,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,FlashAttention_Case1,1,autoresearch,256,33010,112,128,8,0,0,112458,6952,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,FlashAttention_Case1,2,autoresearch,5376,2468,2,2,2,229,32920,222094,7410,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,FlashAttention_Case1,3,autoresearch,5376,2468,2,2,2,229,32920,222094,7410,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Matmul_Case0,2,autoresearch,9216,0,2,2,2,271,34688,192380,4702,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Matmul_Case0,3,autoresearch,9216,0,2,2,2,271,34688,192380,4702,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Matmul_Case1,1,autoresearch,128,0,241,3840,16,0,0,629076,30976,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Matmul_Case1,2,autoresearch,34816,0,2,2,2,3600,460800,1816772,38176,True,0
034,2026-06-11T02:45:19.890304+00:00,capfit_p123,Matmul_Case1,3,autoresearch,34816,0,2,2,2,3600,460800,1816772,38176,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,Conv_Case0,1,autoresearch,6912,0,0,300,0,0,0,394430,2580,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,Conv_Case0,2,autoresearch,6912,0,0,300,0,339,88044,615694,3258,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,Conv_Case0,3,autoresearch,6912,0,0,300,0,342,92652,553280,3264,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,FlashAttention_Case0,1,autoresearch,256,8258,24,32,4,0,0,31063,1716,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,FlashAttention_Case0,2,autoresearch,4096,1510,2,2,2,40,4444,53393,1796,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,FlashAttention_Case0,3,autoresearch,4096,1510,2,2,2,41,4700,47608,1798,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,Matmul_Case0,1,autoresearch,128,0,57,448,8,0,0,82308,4160,True,0
035,2026-06-11T03:00:27.837755+00:00,p3_time_select,Matmul_Case0,2,autoresearch,9216,0,2,2,2,271,34688,192380,4702,True,0
