case,problem,comparator,key_kind,ours_key,comparator_key,result
Matmul_Case0,3,goodman_hsu,p3_official,"(186820, 34944, 273)","(917054, 298240, 1310)",WIN
Matmul_Case0,3,baseline,p3_official,"(186820, 34944, 273)","(194331, 34944, 273)",WIN
Matmul_Case1,1,cp_list,p1_bytes_proxy,"(128, 0, 30848, 491520, 4096, 5602797)","(65536, 0, 524288, 524288, 65536, 13045367)",WIN
Matmul_Case1,1,cp_free_first,p1_bytes_proxy,"(128, 0, 30848, 491520, 4096, 5602797)","(34816, 0, 128, 128, 256, 1800218)",WIN
Matmul_Case1,1,pressure_uniform,p1_bytes_proxy,"(128, 0, 30848, 491520, 4096, 5602797)","(34816, 0, 524288, 524288, 256, 6461391)",WIN
Matmul_Case1,1,goodman_hsu,p1_bytes_proxy,"(128, 0, 30848, 491520, 4096, 5602797)","(36608, 0, 524288, 524288, 256, 6471953)",WIN
Matmul_Case1,1,baseline,p1_bytes_proxy,"(128, 0, 30848, 491520, 4096, 5602797)","(34816, 0, 128, 128, 256, 1800218)",WIN
Matmul_Case1,2,cp_list,p2_official,"(460800, 3600, 1783145)","(6506240, 21510, 13045367)",WIN
Matmul_Case1,2,cp_free_first,p2_official,"(460800, 3600, 1783145)","(460800, 3600, 1800218)",WIN
Matmul_Case1,2,pressure_uniform,p2_official,"(460800, 3600, 1783145)","(2556928, 11788, 6461391)",WIN
Matmul_Case1,2,goodman_hsu,p2_official,"(460800, 3600, 1783145)","(2560640, 11817, 6471953)",WIN
Matmul_Case1,2,baseline,p2_official,"(460800, 3600, 1783145)","(460800, 3600, 1800218)",WIN
Matmul_Case1,3,cp_list,p3_official,"(1771132, 460928, 3601)","(13045367, 6506240, 21510)",WIN
Matmul_Case1,3,cp_free_first,p3_official,"(1771132, 460928, 3601)","(1800218, 460800, 3600)",WIN
Matmul_Case1,3,pressure_uniform,p3_official,"(1771132, 460928, 3601)","(6461391, 2556928, 11788)",WIN
Matmul_Case1,3,goodman_hsu,p3_official,"(1771132, 460928, 3601)","(6471953, 2560640, 11817)",WIN
Matmul_Case1,3,baseline,p3_official,"(1771132, 460928, 3601)","(1800218, 460800, 3600)",WIN
