case,problem,order,extra,clean_bytes,dirty_bytes,spills,time,victim_policy,prefetch_window,assign_fallback,time_source,peak_L1,peak_UB,peak_L0A,peak_L0B,peak_L0C,phi
Matmul_Case0,3,cp_free_first,34944,34944,0,273,194331,dist_size_cost,0,False,address,9216,0,128,128,256,2369.75
Matmul_Case0,3,pressure_uniform,296064,34944,261120,1293,897262,dist_size_cost,0,False,address,9216,0,65536,65536,256,618920.75
Matmul_Case0,3,goodman_hsu,298240,37120,261120,1310,917054,dist_size_cost,0,False,address,10752,0,65536,65536,256,615192.875
Matmul_Case0,3,ours,34944,34944,0,273,186820,dist_size_cost,80,False,address,9216,0,128,128,256,2369.75
Matmul_Case0,3,baseline,34944,34944,0,273,194331,dist_size_cost,0,False,address,9216,0,128,128,256,2369.75
Matmul_Case1,1,cp_list,6506240,109824,6396416,21510,13045367,far_only,80,False,pipeline_no_address,65536,0,524288,524288,65536,38160446.0
Matmul_Case1,1,cp_free_first,460800,460800,0,3600,1800218,dist_size_cost,0,False,address,34816,0,128,128,256,123097.5
Matmul_Case1,1,pressure_uniform,2556928,460800,2096128,11788,6461391,dist_size_cost,0,False,pipeline_no_address,34816,0,524288,524288,256,36726615.5
Matmul_Case1,1,goodman_hsu,2560640,464512,2096128,11817,6471953,dist_size_cost,0,False,pipeline_no_address,36608,0,524288,524288,256,36696180.5
Matmul_Case1,1,ours,2818048,0,2818048,7648,5602797,dist_size_cost,0,False,pipeline_no_address,128,0,30848,491520,4096,17329404.5
Matmul_Case1,1,baseline,460800,460800,0,3600,1800218,dist_size_cost,0,False,address,34816,0,128,128,256,123097.5
Matmul_Case1,2,cp_list,6506240,109824,6396416,21510,13045367,far_only,80,False,pipeline_no_address,65536,0,524288,524288,65536,38160446.0
Matmul_Case1,2,cp_free_first,460800,460800,0,3600,1800218,dist_size_cost,0,False,address,34816,0,128,128,256,123097.5
Matmul_Case1,2,pressure_uniform,2556928,460800,2096128,11788,6461391,dist_size_cost,0,False,pipeline_no_address,34816,0,524288,524288,256,36726615.5
Matmul_Case1,2,goodman_hsu,2560640,464512,2096128,11817,6471953,dist_size_cost,0,False,pipeline_no_address,36608,0,524288,524288,256,36696180.5
Matmul_Case1,2,ours,460800,460800,0,3600,1783145,dist_size_cost,5,False,address,34816,0,128,128,256,123097.5
Matmul_Case1,2,baseline,460800,460800,0,3600,1800218,dist_size_cost,0,False,address,34816,0,128,128,256,123097.5
Matmul_Case1,3,cp_list,6506240,109824,6396416,21510,13045367,far_only,80,False,pipeline_no_address,65536,0,524288,524288,65536,38160446.0
Matmul_Case1,3,cp_free_first,460800,460800,0,3600,1800218,dist_size_cost,0,False,address,34816,0,128,128,256,123097.5
Matmul_Case1,3,pressure_uniform,2556928,460800,2096128,11788,6461391,dist_size_cost,0,False,pipeline_no_address,34816,0,524288,524288,256,36726615.5
Matmul_Case1,3,goodman_hsu,2560640,464512,2096128,11817,6471953,dist_size_cost,0,False,pipeline_no_address,36608,0,524288,524288,256,36696180.5
Matmul_Case1,3,ours,460928,460928,0,3601,1771132,dist_size_cost,80,False,address,34816,0,128,128,256,123097.5
Matmul_Case1,3,baseline,460800,460800,0,3600,1800218,dist_size_cost,0,False,address,34816,0,128,128,256,123097.5
